segment_id,image_path,throttle_t,brake_t,steer_t,speed_t,throttle_target,brake_target,steer_target,split
Chunk_1_b0c9d2329ad1606b_2018-07-30--13-44-30_10,Chunk_1_b0c9d2329ad1606b_2018-07-30--13-44-30_10\frame_000001.jpg,0.0,0.09690284729003906,-0.007,29.488888888888894,0.0,0.03336906433105469,-0.0206,dev
Chunk_1_b0c9d2329ad1606b_2018-07-30--13-44-30_10,Chunk_1_b0c9d2329ad1606b_2018-07-30--13-44-30_10\frame_000002.jpg,0.0,0.1812000274658203,-0.0072,29.47083333333333,0.0,0.05800819396972656,-0.0198,dev
Chunk_1_b0c9d2329ad1606b_2018-07-30--13-44-30_10,Chunk_1_b0c9d2329ad1606b_2018-07-30--13-44-30_10\frame_000003.jpg,0.0,0.044544219970703125,-0.0078,29.50902777777778,0.0,0.1307239532470703,-0.0192,dev
Chunk_1_b0c9d2329ad1606b_2018-07-30--13-44-30_10,Chunk_1_b0c9d2329ad1606b_2018-07-30--13-44-30_10\frame_000004.jpg,0.0,0.07362174987792969,-0.0086,29.49236111111111,0.0,0.16193389892578125,-0.018600000000000002,dev
Chunk_1_b0c9d2329ad1606b_2018-07-30--13-44-30_10,Chunk_1_b0c9d2329ad1606b_2018-07-30--13-44-30_10\frame_000005.jpg,0.0,0.13967514038085938,-0.0096,29.482638888888893,0.0,0.10600090026855469,-0.0182,dev
Chunk_1_b0c9d2329ad1606b_2018-07-30--13-44-30_10,Chunk_1_b0c9d2329ad1606b_2018-07-30--13-44-30_10\frame_000006.jpg,0.0,0.12303924560546875,-0.010199999999999999,29.500694444444445,0.0,0.06703948974609375,-0.0182,dev
Chunk_1_b0c9d2329ad1606b_2018-07-30--13-44-30_10,Chunk_1_b0c9d2329ad1606b_2018-07-30--13-44-30_10\frame_000007.jpg,0.0,0.054805755615234375,-0.011,29.498611111111114,0.0,0.15831756591796875,-0.0182,dev
Chunk_1_b0c9d2329ad1606b_2018-07-30--13-44-30_10,Chunk_1_b0c9d2329ad1606b_2018-07-30--13-44-30_10\frame_000008.jpg,0.0,0.016714096069335938,-0.0114,29.50347222222222,0.0,0.1257781982421875,-0.0182,dev
Chunk_1_b0c9d2329ad1606b_2018-07-30--13-44-30_10,Chunk_1_b0c9d2329ad1606b_2018-07-30--13-44-30_10\frame_000009.jpg,0.0,0.15262794494628906,-0.012,29.52291666666667,0.0,0.03624725341796875,-0.0182,dev
Chunk_1_b0c9d2329ad1606b_2018-07-30--13-44-30_10,Chunk_1_b0c9d2329ad1606b_2018-07-30--13-44-30_10\frame_000010.jpg,0.0,0.13224411010742188,-0.013,29.520138888888887,0.0,0.16626358032226562,-0.0182,dev
